carrossel,tema,slide,tipo,headline,corpo,cta
16,Como IA mudou minha conversa com o cliente,1,cover,Antes eu chegava na reuniao para vender.,Agora chego para confirmar.,
16,Como IA mudou minha conversa com o cliente,2,body,Como era a reuniao antes,"20 minutos coletando informacao basica. 10 minutos explicando o que eu faco. 10 minutos tentando entender o que o cliente quer.",
16,Como IA mudou minha conversa com o cliente,3,body,O que o agente faz antes da reuniao,"Coleta perfil do evento. Identifica orcamento estimado. Mapeia expectativas. Detecta possiveis objecoes.",
16,Como IA mudou minha conversa com o cliente,4,body,Como e a reuniao agora,"Cliente ja chegou qualificado. Eu ja cheguei preparado. A conversa comeca no ponto certo: a solucao.",
16,Como IA mudou minha conversa com o cliente,5,cta,Reuniao boa nao e sorte. E preparacao com sistema.,A BKS Grow constroi esse sistema na sua operacao.,Link na bio
17,O funil de eventos que nao depende de networking,1,cover,Construi um funil de captacao que funciona mesmo quando nao estou em nenhum evento.,,
17,O funil de eventos que nao depende de networking,2,body,O modelo antigo,"Evento → networking → indicacao → talvez um cliente. Alta dependencia de presenca fisica e sorte de timing.",
17,O funil de eventos que nao depende de networking,3,body,O que o funil com IA faz,"Prospeccao ativa com criterio. Qualificacao automatica. Nurture de lead sem esforco manual. Reuniao so com quem ja passou pelo filtro.",
17,O funil de eventos que nao depende de networking,4,body,O que isso muda na pratica,"Pipeline previsivel. Agenda de reunioes com lead qualificado. Menos tempo em conversa que nao vai a lugar nenhum.",
17,O funil de eventos que nao depende de networking,5,cta,Indicacao e bem-vinda. Mas nao pode ser o plano.,A BKS Grow constroi o motor que roda independente.,Diagnostico gratuito — link na bio
18,IA nao e software. E como voce pensa o negocio.,1,cover,A maioria usa IA como ferramenta.,Os resultados aparecem quando voce usa como sistema.,
18,IA nao e software. E como voce pensa o negocio.,2,body,Ferramenta vs sistema,"Ferramenta: voce aciona quando precisa. Sistema: roda sem voce acionar. A diferenca de resultado e enorme.",
18,IA nao e software. E como voce pensa o negocio.,3,body,O que muda no modo de pensar,"Parar de perguntar: qual IA eu uso? Comecar a perguntar: qual parte do meu negocio pode rodar sem mim?",
18,IA nao e software. E como voce pensa o negocio.,4,body,Como isso aparece na pratica,"Nao e sobre o ChatGPT. E sobre desenhar o fluxo, conectar as pecas e garantir que o sistema entrega sem depender da sua atencao.",
18,IA nao e software. E como voce pensa o negocio.,5,cta,Mudar de ferramenta para sistema e uma mudanca de mentalidade antes de qualquer tecnologia.,A BKS Grow faz essa transicao com voce.,Link na bio
19,3 perguntas que a IA responde antes que o cliente precise fazer,1,cover,Cliente que pergunta ja esta com objecao formada.,A IA antecipa antes da reuniao.,
19,3 perguntas que a IA responde antes que o cliente precise fazer,2,body,Pergunta 1: quanto custa?,"O agente ja entrega uma faixa de investimento com base no perfil do evento antes da primeira reuniao. Sem surpresa na call.",
19,3 perguntas que a IA responde antes que o cliente precise fazer,3,body,Pergunta 2: voces ja fizeram algo parecido?,"Cases e referencias ja chegam no pre-briefing. Cliente chega na reuniao com prova social. Objecao ja foi tratada.",
19,3 perguntas que a IA responde antes que o cliente precise fazer,4,body,Pergunta 3: como funciona o processo?,"Fluxo de contratacao ja foi explicado pelo agente. Reuniao comeca sem precisar vender o basico. Foco no que importa.",
19,3 perguntas que a IA responde antes que o cliente precise fazer,5,cta,Objecao antecipada e objecao eliminada.,A BKS Grow constroi o agente que prepara o terreno antes da sua reuniao.,Link na bio
20,O que o setor de eventos pode aprender com quem ja automatizou,1,cover,Outros setores ja passaram por essa virada.,Eventos estao so atrasados — nao imunes.,
20,O que o setor de eventos pode aprender com quem ja automatizou,2,body,O que aconteceu no setor imobiliario,"CRM virou obrigacao. Qualificacao automatica e padrao. Corretor que nao usa sistema perde para quem usa. Levou 5 anos.",
20,O que o setor de eventos pode aprender com quem ja automatizou,3,body,O que aconteceu em clinicas e saude,"Agendamento automatico. Confirmacao por IA. Follow-up de pos-consulta. Reducao de no-show em 40%. Hoje e commodity.",
20,O que o setor de eventos pode aprender com quem ja automatizou,4,body,O que o setor de eventos ainda tem de vantagem,"Ainda esta no inicio. Quem entra agora define o padrao. Quem espera vai copiar o padrao de quem entrou.",
20,O que o setor de eventos pode aprender com quem ja automatizou,5,cta,O mercado sempre se ajusta. A questao e se voce ajusta antes ou depois.,A BKS Grow constroi o sistema enquanto a janela esta aberta.,Diagnostico gratuito — link na bio
